LTL Formula,Trace,Type
G(X(x1) <-> (x2 <-> X(!x2)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Negative
x1 -> X(x1) & X(X(x1) & X(X(X(!x1))),[x1 = TRUE];[x1 = FALSE];...,Positive
x1 -> X(x1) & X(X(x1) & X(X(X(!x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Negative
G(x1 -> X(!x1)),[x1 = TRUE];[x1 = FALSE];...,Positive
G(x1 -> X(!x1)),[x1 = TRUE];[x1 = TRUE];...,Negative
G((x1 U !x1) & (F(!x1 U x1)) ),[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive
G((x1 U !x1) & (F(!x1 U x1)) ),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative
F(x1->(X(X(G(!x1)))) | G(!x1)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive
F(x1->(X(X(G(!x1)))) | G(!x1)),[x1 = TRUE];[x1 = TRUE];...,Negative
G((x1 & x2) U x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Positive
G((x1 & x2) U x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative
F(F(x1)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive
F(F(x1)),[x1 = FALSE];[x1 = FALSE];...,Negative
F(G(x1->X!x1) & G(!x1->X(x1))),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];...,Positive
F(G(x1->X!x1) & G(!x1->X(x1))),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];[x1 = TRUE];...,Negative
x1 U (x2 & X(X(x2))),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];...",Positive
x1 U (x2 & X(X(x2))),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
G(G(x1) | F(!x1)),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Positive
G(G(x1) | F(!x1)),True,Negative
G(x1 | x2) & x1 U x2 & x2 U x1,"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
G(x1 | x2) & x1 U x2 & x2 U x1,"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
G(x1 -> X(x2 | X3)) & G(x1-> (!x2 & !x3)),"[X3 = FALSE, x1 = TRUE, x2 = FALSE, x3 = FALSE];[X3 = TRUE, x1 = FALSE, x2 = FALSE, x3 = FALSE];[X3 = FALSE, x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive
G(x1 -> X(x2 | X3)) & G(x1-> (!x2 & !x3)),"[X3 = FALSE, x1 = TRUE, x2 = TRUE, x3 = FALSE];[X3 = FALSE, x1 = TRUE, x2 = FALSE, x3 = FALSE];[X3 = TRUE, x1 = FALSE, x2 = FALSE, x3 = FALSE];[X3 = FALSE, x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative
F(x2) -> !x2 U (x1 & x3),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive
F(x2) -> !x2 U (x1 & x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative
!F(!x1),[x1 = TRUE];[x1 = TRUE];...,Positive
!F(!x1),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative
G(x1 & (G(x2) U x1) & F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE];...",Positive
G(x1 & (G(x2) U x1) & F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(x1& !x2) & F(x3),"[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive
G(x1& !x2) & F(x3),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative
G(F(x1)) -> F(G(x1)),[x1 = FALSE];[x1 = FALSE];...,Positive
G(F(x1)) -> F(G(x1)),[x1 = FALSE];[x1 = TRUE];...,Negative
x1 & !x2 -> F(!x1 U x2 ),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];...",Positive
x1 & !x2 -> F(!x1 U x2 ),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
(F(x1) & F(x2)) -> G(x1 -> x2 & x2 -> x1),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
(F(x1) & F(x2)) -> G(x1 -> x2 & x2 -> x1),True,Negative
!(G(x1)) U G(!x1),[x1 = FALSE];[x1 = FALSE];...,Positive
!(G(x1)) U G(!x1),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative
F(x1) -> G(x1 U !x1),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive
F(x1) -> G(x1 U !x1),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative
G((x1 -> X(!x1)) & (!x1 -> X(x1))),[x1 = TRUE];[x1 = FALSE];...,Positive
G((x1 -> X(!x1)) & (!x1 -> X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Negative
G(F(X(x1))),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Positive
G(F(X(x1))),[x1 = FALSE];[x1 = FALSE];...,Negative
G(x1) & G(!x1),True,Positive
G(x1) & G(!x1),[x1 = FALSE];[x1 = FALSE];...,Negative
X(X(x1))->X(x1),[x1 = FALSE];[x1 = FALSE];...,Positive
X(X(x1))->X(x1),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Negative
F(x1 & G(!x1)),True,Positive
F(x1 & G(!x1)),[x1 = FALSE];[x1 = FALSE];...,Negative
G(F(x2) U (X(x1)),True,Positive
G(F(x2) U (X(x1)),[x1 = FALSE];[x1 = FALSE];...,Negative
X(G(x1)) -> F(x1),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Positive
X(G(x1)) -> F(x1),True,Negative
x3 U ((x1 | G(x3)) & F(x2)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Positive
x3 U ((x1 | G(x3)) & F(x2)),"[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Negative
x1 -> X(x1),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> X(x1),[x1 = TRUE];[x1 = FALSE];...,Negative
F(G(x1 -> X(x1) & X(X(!x1))) & G(!x1->X(!x1) & X(X(x1)))),True,Positive
F(G(x1 -> X(x1) & X(X(!x1))) & G(!x1->X(!x1) & X(X(x1)))),[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
(x1 -> G(!x2 & F(!x1 U x1)),True,Positive
(x1 -> G(!x2 & F(!x1 U x1)),[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
G(x1 U !x1 & !x1 U x1),[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive
G(x1 U !x1 & !x1 U x1),[x1 = FALSE];[x1 = FALSE];...,Negative
F((x1 <-> X(!x2)) | G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
F((x1 <-> X(!x2)) | G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Negative
G(x2 -> !F(x1) & x3 -> !F(x2)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive
G(x2 -> !F(x1) & x3 -> !F(x2)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Negative
F(G(x1 U x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Positive
F(G(x1 U x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
(x1 & x2) -> (X(x3) & X(X(!x3))),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Positive
(x1 & x2) -> (X(x3) & X(X(!x3))),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Negative
x1->X(x1) & (X(x1))->(X(X(x1)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Positive
x1->X(x1) & (X(x1))->(X(X(x1)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Negative
x1 -> F(x2 U !x1),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
x1 -> F(x2 U !x1),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
X(X(X(x1))) -> (F(!x2) & x3),"[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Positive
X(X(X(x1))) -> (F(!x2) & x3),"[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Negative
G(x1 U x2) & G(!(x1 & x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Positive
G(x1 U x2) & G(!(x1 & x2)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];...",Negative
G(F(X(X(X(x1))))),[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Positive
G(F(X(X(X(x1))))),[x1 = FALSE];[x1 = FALSE];...,Negative
G((x1 -> ! x2) & (x2 -> ! x1)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
G((x1 -> ! x2) & (x2 -> ! x1)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(X(X(X(x1))) -> x2),"[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
G(X(X(X(x1))) -> x2),"[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative
F(G(F(x1))),[x1 = FALSE];[x1 = TRUE];...,Positive
F(G(F(x1))),[x1 = FALSE];[x1 = FALSE];...,Negative
G(X(!x1) -> x1),[x1 = TRUE];[x1 = TRUE];...,Positive
G(X(!x1) -> x1),[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Negative
G(x1->!x2 & !x3) & G(x2 | x3 -> !x1),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive
G(x1->!x2 & !x3) & G(x2 | x3 -> !x1),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative
G(x1 -> (X(x2) & X(X(!x3)))),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Positive
G(x1 -> (X(x2) & X(X(!x3)))),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative
G(F(x1 -> X(!x1)) & x2 -> !x2),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE];...",Positive
G(F(x1 -> X(!x1)) & x2 -> !x2),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(!x1) -> (G(x1) | F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
G(!x1) -> (G(x1) | F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
G(G(x1) -> F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
G(G(x1) -> F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
(x1 U x2) | G(x1 -> X(!x1)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
(x1 U x2) | G(x1 -> X(!x1)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(X(x1) & F(x1 -> x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];...",Positive
G(X(x1) & F(x1 -> x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
X(!x1 U x1) -> F(!x1),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive
X(!x1 U x1) -> F(!x1),[x1 = TRUE];[x1 = TRUE];...,Negative
F(x2 & x1) -> (x1 U x2) | (X(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];...",Positive
F(x2 & x1) -> (x1 U x2) | (X(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
x1 -> F(G(x1)),[x1 = TRUE];[x1 = TRUE];...,Positive
x1 -> F(G(x1)),[x1 = TRUE];[x1 = FALSE];...,Negative
((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),"[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Positive
((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),"[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Negative
G(((!x1) -> (!x2)) & ((!x2)->(!x1))) & F(x1 & x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
G(((!x1) -> (!x2)) & ((!x2)->(!x1))) & F(x1 & x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
X(x1)->X(X(X(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
X(x1)->X(X(X(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
G(x1) & !x2 & x1!=x2 -> G(!x2),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
G(x1) & !x2 & x1!=x2 -> G(!x2),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
F(G(x1)) | G(F(x1)),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Positive
F(G(x1)) | G(F(x1)),[x1 = FALSE];[x1 = FALSE];...,Negative
x1 -> F(!x1) & !x1 -> F(x1),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> F(!x1) & !x1 -> F(x1),True,Negative
(x1 <-> x2) U (x1 U x3),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive
(x1 <-> x2) U (x1 U x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative
G(!(x1 & x2)) & G(x1 | x2),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
G(!(x1 & x2)) & G(x1 | x2),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(x1 | x2) & X(G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
G(x1 | x2) & X(G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G((!x1 & X(x1)) -> X(F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
G((!x1 & X(x1)) -> X(F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(F(x1) | F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
G(F(x1) | F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
x1 -> X(!x1) & F(x2),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive
x1 -> X(!x1) & F(x2),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
F(x1) -> G(x1),[x1 = TRUE];[x1 = TRUE];...,Positive
F(x1) -> G(x1),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
G(F(x1 -> X(x2 U !x3))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive
G(F(x1 -> X(x2 U !x3))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Negative
G(F(x1 -> !x1)),[x1 = FALSE];[x1 = FALSE];...,Positive
G(F(x1 -> !x1)),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative
G(F(G(x1))) & F(G(F(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];...",Positive
G(F(G(x1))) & F(G(F(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative
x1 -> X(X(X(x1))),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> X(X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];...,Negative
F(x1) -> G(x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
F(x1) -> G(x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative
x1 -> X(X(X(x1))),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> X(X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative
(x1 U x2) & G(x1),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
(x1 U x2) & G(x1),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(x1 -> (X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];...,Positive
G(x1 -> (X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
x1 -> X(X(X(x1))),[x1 = FALSE];[x1 = FALSE];...,Positive
x1 -> X(X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive
X(X(F(X(x1)))),[x1 = FALSE];[x1 = FALSE];...,Negative
(F(x1)) -> (G(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive
(F(x1)) -> (G(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative
((x1) U (x2)) & G(x1),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive
((x1) U (x2)) & G(x1),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative
G(x1 -> (X(!x1 ) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];...,Positive
G(x1 -> (X(!x1 ) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative
